"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3951494";"";"";"Small molecule";"";"418.46";"1";"1";"2.36";"125.34";"8";"4";"0";"6";"N";"0.36";"7.24";"4.14";"1.12";"0.74";"3";"MOL";"-1";"31";"10";"4";"0";"418.1866";"-1.04";"NEUTRAL";"C21H22N8O2";"Cc1cccnc1C(C)Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1";"OWJKAZDSLFBCOT-NVNXTCNLSA-N"
"CHEMBL423007";"";"";"Small molecule";"";"510.63";"1";"1";"5.06";"34.47";"4";"0";"1";"3";"N";"0.68";"None";"7.97";"5.06";"4.39";"2";"MOL";"-1";"29";"4";"0";"1";"394.2620";"0.45";"NEUTRAL";"C29H38N2O6";"CC(C)n1cc2c3c(cccc31)C1C[C@@H](C(=O)OC3CCCCC3)CN(C)C1C2.O=C(O)/C=C\C(=O)O";"DGWHVOFFYDSLFJ-NGSVWISCSA-N"
"CHEMBL3923469";"";"";"Small molecule";"";"605.63";"1";"2";"4.86";"112.65";"8";"2";"1";"10";"N";"0.19";"None";"5.60";"4.90";"4.89";"3";"MOL";"-1";"43";"8";"3";"1";"605.2513";"-0.67";"NEUTRAL";"C31H35F4N3O5";"CC(C)(C)OC[C@H](NCCc1cc(F)c(-n2c(N)c(C(=O)c3ccc(F)cc3F)ccc2=O)c(F)c1)C(=O)OC(C)(C)C";"WRGVAZIJXDACKY-DEOSSOPVSA-N"
"CHEMBL41768";"";"";"Small molecule";"";"346.52";"1";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"346.2409";"None";"None";"C24H30N2";"C#CCN(C)Cc1ccccc1.CN1CCC/C(=C/c2ccccc2)C1";"BPGZYGIKMNYMLV-ALUHPYBCSA-N"
"CHEMBL3654650";"";"";"Small molecule";"";"532.60";"1";"1";"4.06";"94.22";"5";"2";"1";"6";"N";"0.39";"13.21";"5.21";"3.14";"3.14";"4";"MOL";"-1";"39";"8";"2";"1";"532.2398";"-1.58";"NEUTRAL";"C29H30F2N6O2";"Cc1cc(-c2n[nH]c3ccc(C(=O)N[C@@H]4CC[C@@H](C(=O)N(C)C)N(Cc5c(F)cccc5F)C4)cc23)ccn1";"ZZMMBWRHTWGPGH-IBVKSMDESA-N"
"CHEMBL3900715";"";"";"Small molecule";"";"419.38";"2";"2";"1.63";"149.13";"9";"4";"0";"5";"N";"0.36";"7.24";"0.83";"1.41";"1.03";"3";"MOL";"-1";"31";"11";"4";"1";"419.1254";"-1.66";"NEUTRAL";"C19H14FN9O2";"N#Cc1cc(F)cc(Nc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1";"KLGDQXFNJKPKKU-RZNTYIFUSA-N"
"CHEMBL276144";"";"";"Small molecule";"";"534.06";"6";"28";"3.60";"79.70";"6";"1";"0";"1";"N";"0.68";"None";"7.99";"2.77";"2.08";"2";"MOL";"-1";"31";"8";"1";"0";"445.1881";"-0.49";"NEUTRAL";"C26H36ClN5O5";"CCCC(=O)O.C[C@@H]1CN(C(=O)N2Cc3c(C(=O)OC(C)(C)C)ncn3-c3ccc(Cl)cc32)C[C@H](C)N1";"YVSMZOKJWRRWFB-KAECKJJSSA-N"
"CHEMBL3654533";"";"";"Small molecule";"";"542.57";"2";"2";"3.73";"124.85";"7";"3";"1";"7";"N";"0.29";"3.69";"6.94";"0.40";"0.16";"5";"MOL";"-1";"40";"10";"3";"1";"542.2078";"-1.56";"ACID";"C29H27FN6O4";"COc1cccc(F)c1CN1CC(NC(=O)c2ccc3[nH]nc(-c4ccc5nccn5c4)c3c2)CC(C(=O)O)C1";"JZCGGUUWRVLBIH-UHFFFAOYSA-N"
"CHEMBL4107628";"";"";"Small molecule";"";"472.43";"2";"2";"3.07";"125.34";"8";"4";"0";"6";"N";"0.32";"7.24";"2.28";"2.46";"2.08";"3";"MOL";"-1";"34";"10";"4";"0";"472.1583";"-1.22";"NEUTRAL";"C21H19F3N8O2";"C[C@@H](Nc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1ccccc1C(F)(F)F";"LWDVTAHGIVOOGG-IIBSKXHVSA-N"
"CHEMBL3907369";"";"";"Small molecule";"";"323.40";"1";"2";"2.37";"66.06";"3";"1";"0";"3";"N";"0.94";"11.25";"None";"2.08";"2.08";"2";"MOL";"-1";"24";"5";"1";"0";"323.1634";"-1.28";"NEUTRAL";"C19H21N3O2";"O=C1CCCN1c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1";"NGUPYQTYOPNTLK-UHFFFAOYSA-N"
